uuid,age,gender,education,employment,income,saving,debt,created_at,1M-200€,6M-200€,1J-200€,5J-200€,10J-200€,1M-3000€,6M-3000€,1J-3000€,5J-3000€,10J-3000€,95%-200€,90%-200€,75%-200€,33%-200€,10%-200€,95%-3000€,90%-3000€,75%-3000€,33%-3000€,10%-3000
9984c78e-4699-4a84-90ad-8dd215cd9399,26,0,2,4,2000,1,0,2023-08-05 15:28:51,197.5,197.5,197.5,197.5,197.5,2953.5,2953.5,2953.5,2953.5,2953.5,137.5,137.5,125,100,25,2156.5,2156.5,2156.5,2062.5,187
5797393e-1218-463e-bbab-c80ba15dc130,21,1,3,1,1550,1,0,2023-08-07 09:56:22,197.5,197.5,197.5,197.5,197.5,2953.5,2953.5,2953.5,2953.5,2953.5,197.5,144,137.5,127.5,56,2953.5,2953.5,2062.5,1546.5,750
44dfaa72-96be-4c7a-84b6-307f542d4131,20,0,3,2,1000,1,0,2023-08-07 15:32:28,144,131,125,65.5,62.5,2109.5,2062.5,2062.5,1593.5,984.5,127.5,127.5,112.5,106,28,1921.5,1921.5,1921.5,796.5,516
4a93c95e-6473-4086-80be-a09a1d2405ec,21,0,3,0,1600,1,0,2023-08-09 05:42:31,197.5,197.5,197.5,144,144,2953.5,2953.5,2953.5,2156.5,2156.5,144,144,144,137.5,100,2156.5,2156.5,2062.5,1875,1500
94250f75-69b9-4ad8-853f-b11f19ee45ee,23,0,3,2,530,1,0,2023-08-09 16:30:44,197.5,144,140.5,72.5,35,2156.5,2015.5,1921.5,1546.5,2109.5,144,197.5,137.5,31.5,102.5,2156.5,2109.5,2953.5,1546.5,1546.5
fd31bbb9-9792-43e3-a841-0d5f84bdeaa6,22,1,4,2,1400,1,0,2023-08-09 16:33:32,197.5,197.5,197.5,197.5,197.5,2953.5,2062.5,2062.5,2109.5,2062.5,144,134.5,134.5,65.5,50,2156.5,2109.5,2109.5,1500,422
58dc0c6d-d29e-482b-8196-3e4bbba032c8,21,1,3,2,450,1,0,2023-08-09 21:23:25,197.5,197.5,197.5,197.5,102.5,2953.5,2953.5,2953.5,2953.5,2953.5,35,72.5,15.5,35,15.5,2062.5,2062.5,2062.5,1078.5,469
a8faf12e-29c0-4d1e-8bc7-760513812de8,23,1,3,1,0,1,0,2023-08-10 21:06:07,144,134.5,122.5,197.5,197.5,2953.5,2156.5,2156.5,2953.5,2953.5,137.5,134.5,35,50,35,2062.5,2109.5,1828.5,1500,516
4b63ea65-8493-4a5f-9f9f-32059dab9165,20,0,3,2,1150,1,0,2023-08-12 09:46:29,197.5,144,137.5,125,100,2953.5,2109.5,2062.5,1875,1500,197.5,197.5,197.5,144,137.5,2953.5,2953.5,2953.5,2156.5,2062.5
c65ec6d4-d016-42bc-b219-246b627eeff1,21,0,3,1,600,1,0,2023-08-12 09:57:22,197.5,137.5,137.5,72.5,15.5,2015.5,2015.5,1875,1500,469,72.5,197.5,197.5,197.5,197.5,2953.5,2953.5,2953.5,1968.5,1781.5
52805c0f-7dad-4fa2-957a-381e32e98506,24,1,3,1,1100,0,1,2023-08-12 10:12:17,134.5,137.5,134.5,59.5,102.5,2953.5,2953.5,1968.5,1687.5,187,115.5,112.5,72.5,15.5,62.5,375,843.5,890.5,937.5,750
c8909872-5e3c-4344-8f9b-e67b19a199fe,21,1,3,1,1400,1,0,2023-08-12 10:39:39,197.5,197.5,72.5,15.5,15.5,2953.5,2953.5,2953.5,2156.5,516,197.5,197.5,197.5,197.5,197.5,2953.5,2953.5,2953.5,2953.5,2953.5
ac3ccdc8-4155-443a-9c02-822df64841f0,23,0,4,2,1073,1,0,2023-08-12 11:56:48,131,131,109.5,28,5,1078.5,1828.5,1546.5,516,93,109.5,5,5,102.5,102.5,1921.5,1734.5,516,234,422
3540ea81-31de-4d4c-b726-3d667fd30963,26,0,4,1,1000,0,1,2023-08-12 12:15:30,144,137.5,137.5,106,28,2156.5,2109.5,2015.5,1546.5,234,197.5,144,144,134.5,62.5,2953.5,2953.5,2953.5,1687.5,469
9ccbe98e-a8ce-4308-aec6-63df2bc4b2a7,23,0,3,1,1750,1,0,2023-08-12 15:32:35,127.5,127.5,127.5,52.5,25,1875,1875,1875,375,187,197.5,197.5,197.5,197.5,197.5,2953.5,2953.5,2953.5,1875,234
0755098a-06c8-4991-84f7-6eb55db3043f,20,1,3,1,1350,1,0,2023-08-12 17:52:25,137.5,134.5,127.5,62.5,5,1968.5,1968.5,1781.5,1500,422,197.5,197.5,197.5,134.5,125,2953.5,2953.5,2953.5,2062.5,1968.5
336e2e3b-71cc-4053-9163-ef74c7aa3d16,20,0,3,3,500,0,0,2023-08-12 18:12:00,144,137.5,125,125,137.5,2953.5,2953.5,2953.5,1781.5,2953.5,197.5,197.5,197.5,197.5,197.5,2953.5,2953.5,2953.5,2062.5,2062.5
fb1c6036-b763-43cf-bb2a-d66b63a4bd58,20,0,4,2,520,1,0,2023-08-12 21:21:31,144,137.5,122.5,62.5,15.5,2156.5,2062.5,1875,984.5,234,144,102.5,144,100,119,2953.5,2156.5,2156.5,2062.5,1593.5
83246265-e513-47cc-8dfb-73be3abc4d3d,19,1,3,1,0,1,0,2023-08-14 14:50:27,197.5,122.5,119,12,5,2156.5,2062.5,1875,1078.5,234,197.5,197.5,197.5,197.5,197.5,2953.5,2953.5,2953.5,2953.5,2953.5
9ce3ddd4-f185-40d6-b068-ea7a719147fe,21,0,3,2,1250,1,0,2023-08-15 16:13:38,144,144,137.5,125,100,2156.5,2062.5,1921.5,1875,1875,197.5,197.5,197.5,197.5,144,2156.5,2156.5,2156.5,2062.5,1875
2a125e1d-b4a5-4403-904b-a3ee5559d682,22,0,3,0,1550,1,0,2023-08-15 16:15:56,144,144,137.5,125,125,2156.5,2156.5,2062.5,1875,1500,197.5,197.5,197.5,197.5,137.5,2953.5,2953.5,2953.5,2109.5,2062.5
